Ivete Sangalo,Cheguei Pra Te Amar,Cheguei Pra Te Amar,27 Oct 2017 13:33
American Football,American Football [Deluxe Edition],The One With the Wurlitzer,23 Oct 2017 18:14
American Football,American Football [Deluxe Edition],Stay Home,23 Oct 2017 18:06
American Football,American Football [Deluxe Edition],I'll See You When We're Both Not So Emotional,23 Oct 2017 18:02
American Football,American Football [Deluxe Edition],You Know I Should Be Leaving Soon,23 Oct 2017 14:09
American Football,American Football [Deluxe Edition],For Sure,23 Oct 2017 14:06
American Football,American Football [Deluxe Edition],Honestly?,23 Oct 2017 14:00
American Football,American Football [Deluxe Edition],The Summer Ends,23 Oct 2017 13:55
American Football,American Football [Deluxe Edition],Never Meant,23 Oct 2017 13:44
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 5 In C Minor BWV 1011: Gavotte,20 May 2015 18:10
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 5 In C Minor BWV 1011: Sarabande,20 May 2015 18:00
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 5 In C Minor BWV 1011: Courante,20 May 2015 17:57
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 5 In C Minor BWV 1011: Allemande,20 May 2015 17:52
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 5 In C Minor BWV 1011: Prélude,20 May 2015 17:24
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 1 In G Major BWV 1007: Gigue,20 May 2015 17:21
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 1 In G Major BWV 1007: Menuett,20 May 2015 17:18
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 1 In G Major BWV 1007: Sarabande,20 May 2015 17:15
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 1 In G Major BWV 1007: Courante,20 May 2015 17:13
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 1 in G Major BWV 1007: Allemande,20 May 2015 17:09
Yo-Yo Ma,Bach: Cello Suites Nos. 1 5 & 6,Unaccompanied Cello Suite No. 1 In G Major BWV 1007: Prélude,20 May 2015 17:05
Johann Sebastian Bach,Dance of the Blessed Spirits,Ave Maria,20 May 2015 17:00
Johann Sebastian Bach,Five,Partita in B-flat major BWV 825: IV. Sarabande,20 May 2015 16:52
Beirut,The Flying Club Cup,Nantes,03 Feb 2015 19:32
Beirut,The Rip Tide,The Rip Tide,03 Feb 2015 19:27
Beirut,The Rip Tide,Goshen,03 Feb 2015 19:24
Beirut,Gulag Orkestar,Postcards From Italy,03 Feb 2015 19:19
Beirut,The Rip Tide,East Harlem,03 Feb 2015 19:15
Beirut,The Rip Tide,A Candle's Fire,03 Feb 2015 19:11
Beirut,The Rip Tide,Santa Fe,03 Feb 2015 19:06
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: III. Allegretto,28 Jan 2015 02:35
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: I. Largo - Allegro,28 Jan 2015 02:27
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: II. Andante,28 Jan 2015 02:19
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Sonata For Keyboard And Violin No. 35 In A Major K. 526: II. Andante,28 Jan 2015 02:06
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Sonata for Keyboard and Violin No. 35 in A major K. 526: I. Molto Allegro,27 Jan 2015 22:14
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 25 in F Major K. 377: III. Tempo di Minuetto,27 Jan 2015 22:08
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 25 in F Major K. 377: II. Theme and Variations: Andante,27 Jan 2015 21:59
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 25 in F major K. 377: I. Allegro,27 Jan 2015 21:53
Richard Strauss,Strauss Poulenc & Rihm: Werke für Violoncello und Klavier (Movimentos Edition),Romance in F major,27 Jan 2015 21:25
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: III. Allegretto,27 Jan 2015 21:18
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: I. Largo - Allegro,27 Jan 2015 21:10
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: II. Andante,27 Jan 2015 21:02
Johann Sebastian Bach,Bach: Brandenburgische Konzerte,Concerto n°5 en Ré majeur BWV 1050: I. Allegro,27 Jan 2015 20:58
Wolfgang Amadeus Mozart,Yellow Lounge,Sinfonia concertante for Violin Viola and Orchestra in E flat K.364: 3. Presto - Excerpt,25 Jan 2015 23:17
Wolfgang Amadeus Mozart,Yellow Lounge,Clarinet Concerto in A K.622: 1. Allegro - Excerpt,25 Jan 2015 23:11
Wolfgang Amadeus Mozart,The 50 Greatest Pieces for Violin,Concerto No. 3 in G Major for Violin and Orchestra K. 216: II. Adagio (Cadenza by Robert Levin),25 Jan 2015 23:01
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: III. Allegretto,25 Jan 2015 22:50
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: I. Largo - Allegro,25 Jan 2015 22:41
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: II. Andante,25 Jan 2015 22:31
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: I. Largo - Allegro,08 Dec 2014 23:02
Wolfgang Amadeus Mozart,Mozart: Sonatas for Piano & Violin,Violin Sonata No. 32 in B-flat major K. 454: II. Andante,08 Dec 2014 22:52
Sam Smith,In the Lonely Hour,Good Thing,08 Dec 2014 00:40
Sam Smith,In the Lonely Hour,Good Thing,08 Dec 2014 00:40
Sam Smith,In the Lonely Hour,Money on My Mind,08 Dec 2014 00:37
Sam Smith,In The Lonely Hour (Deluxe),I'm Not the Only One,08 Dec 2014 00:31
Christmas Songs,Rudolph the Red Nosed Reindeer,All I Want for Christmas Is You,15 Nov 2014 18:02
Jingle Bells,Jingle Bell Rock,Jingle Bell Rock,15 Nov 2014 18:01
Hilary Hahn,The Essential Hilary Hahn,V. Chaconne from Partita No. 2 for Violin in D minor BWV 1004 - Instrumental,10 Nov 2014 21:43
Zendaya,Zendaya,Replay,21 Oct 2014 02:57
Ingrid Michaelson,Girls Chase Boys,Girls Chase Boys,21 Oct 2014 02:53
Sia,Elastic Heart (from “The Hunger Games: Catching Fire” Soundtrack),Elastic Heart - From The Hunger Games: Catching Fire/Soundtrack,21 Oct 2014 02:49
Ed Sheeran,Sing,Sing,21 Oct 2014 02:45
Beyoncé,Partition,Partition,21 Oct 2014 02:39
Lorde,Pure Heroine,White Teeth Teens,21 Oct 2014 02:36
Iggy Azalea,The New Classic,Impossible Is Nothing,21 Oct 2014 02:32
Katy Perry,PRISM (Deluxe),Roar,21 Oct 2014 02:28
Beyoncé,Beyoncé,XO,21 Oct 2014 02:25
will.i.am,#willpower (Deluxe),Feelin' Myself,21 Oct 2014 02:20
YG,My Nigga,My Nigga,21 Oct 2014 02:16
Iggy Azalea,Change Your Life,Change Your Life,21 Oct 2014 02:13
Lana Del Rey,Young and Beautiful,Young and Beautiful,21 Oct 2014 02:09
American Authors,Oh What A Life,Best Day of My Life,21 Oct 2014 02:05
Rihanna,Unapologetic (Deluxe),Stay,21 Oct 2014 02:01
Clean Bandit,Rather Be feat. Jess Glynne,Rather Be (feat. Jess Glynne),21 Oct 2014 01:57
Lorde,Pure Heroine,Tennis Court,21 Oct 2014 01:54
Azealia Banks,212,212,21 Oct 2014 01:51
Iggy Azalea,The New Classic,Black Widow,21 Oct 2014 01:46
A Great Big World,Is There Anybody Out There?,Say Something,21 Oct 2014 01:43
M.I.A.,Bad Girls,Bad Girls,21 Oct 2014 01:39
Beyoncé,Beyoncé,Drunk in Love,21 Oct 2014 01:33
Karmin,Acapella,Acapella,21 Oct 2014 01:29
Sam Smith,Money on My Mind,Money on My Mind,21 Oct 2014 01:26
Disclosure,Settle,Latch,21 Oct 2014 01:22
Vance Joy,Riptide,Riptide,21 Oct 2014 01:18
Lorde,Pure Heroine,White Teeth Teens,21 Oct 2014 01:14
Zedd,Clarity,Lost at Sea,19 Oct 2014 03:37
Zedd,Clarity,Spectrum,19 Oct 2014 03:30
Zedd,Find You,Find You,19 Oct 2014 03:26
Zedd,Clarity (Deluxe),Stay the Night - featuring Hayley Williams of Paramore,19 Oct 2014 03:23
Zedd,Clarity,Clarity,19 Oct 2014 03:17
Tiësto,Dim Mak Greatest Hits of 2012 Vol.1,Tornado (feat. Polina) - Kill the Noise Remix,19 Oct 2014 03:14
Steve Aoki,Neon Future I,Born To Get Wild,19 Oct 2014 03:09
Steve Aoki,Neon Future I,Free The Madness,19 Oct 2014 03:05
Steve Aoki,Neon Future I,Back to Earth,19 Oct 2014 03:00
Afrojack,No Beef,No Beef,19 Oct 2014 02:54
Steve Aoki,Random White Dude Be Everywhere,Freak (feat. Steve Bays),19 Oct 2014 02:50
Linkin Park x Steve Aoki,RECHARGED,A Light That Never Comes,19 Oct 2014 02:46
Brantley Gilbert,Halfway to Heaven (Deluxe Edition),Kick It In The Sticks,19 Oct 2014 02:40
Frank Ocean,channel ORANGE,Super Rich Kids,19 Oct 2014 02:36
Frank Ocean,channel ORANGE,Not Just Money,19 Oct 2014 02:35
Frank Ocean,channel ORANGE,Sweet Life,19 Oct 2014 02:30
Frank Ocean,channel ORANGE,Sierra Leone,19 Oct 2014 02:28
King Princess,Pussy Is God,Pussy Is God,
Frank Ocean,channel ORANGE,Fertilizer,19 Oct 2014 02:27
Frank Ocean,channel ORANGE,Thinkin Bout You,19 Oct 2014 02:24
Frank Ocean,channel ORANGE,Start,19 Oct 2014 02:23
Sam Smith,In The Lonely Hour (Deluxe),Money on My Mind,19 Oct 2014 02:19
Kaizers Orchestra,Ompa til du dør,Dekk bord,04 Oct 2014 18:52
Kaizers Orchestra,Ompa til du dør,Mr. Kaizer hans Constanse og meg,04 Oct 2014 18:48
Kaizers Orchestra,Ompa til du dør,Bøn fra helvete,04 Oct 2014 18:44
Kaizers Orchestra,Ompa til du dør,Bris,04 Oct 2014 18:41
Murray Perahia,Murray Perahia - Bach Piano Concertos,Keyboard Concerto No. 1 In D Minor BWV 1052: II. Adagio,26 Sep 2014 01:32
Murray Perahia,Murray Perahia - Bach Piano Concertos,Keyboard Concerto No. 1 In D Minor BWV 1052: I. Allegro,26 Sep 2014 01:20
Glenn Gould,Bach: The Well-Tempered Clavier Book I BWV 846-869,Prelude & Fugue No. 6 In D Minor BWV 851: Fugue,26 Sep 2014 01:18
Glenn Gould,Bach: The Well-Tempered Clavier Book I BWV 846-869,Prelude & Fugue No. 6 In D Minor BWV 851: Prelude,26 Sep 2014 01:01
Johann Sebastian Bach,Back to Bach: Brandenburg Concertos No. 3 4 & 5,Toccata & Fugue in D minor BWV 565,26 Sep 2014 00:53
Hilary Hahn,The Essential Hilary Hahn,V. Chaconne from Partita No. 2 for Violin in D minor BWV 1004 - Instrumental,26 Sep 2014 00:25
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),False Summit,11 Sep 2014 21:16
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),Set Them Free,11 Sep 2014 20:59
Steve Jablonsky,Lone Survivor (Original Motion Picture Soundtrack),The Goat Herders,11 Sep 2014 20:40
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),Checkpoints,11 Sep 2014 20:35
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),Seal Credo / Landing,11 Sep 2014 20:31
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),Briefing,11 Sep 2014 20:28
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),Waking Up,11 Sep 2014 20:23
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),Warriors,11 Sep 2014 19:54
Explosions in the Sky,Take Care Take Care Take Care,Last Known Surroundings,11 Sep 2014 19:45
Explosions in the Sky,The Earth Is Not a Cold Dead Place,The Only Moment We Were Alone,11 Sep 2014 19:30
Explosions in the Sky,How Strange Innocence,Remember Me as a Time of Day,11 Sep 2014 19:16
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Wading,11 Sep 2014 18:42
Explosions in the Sky,The Earth Is Not a Cold Dead Place,First Breath After Coma,11 Sep 2014 18:32
Explosions in the Sky,Lone Survivor (Original Motion Picture Soundtrack),Waking Up,11 Sep 2014 18:27
Explosions in the Sky,Take Care Take Care Take Care,Human Qualities,11 Sep 2014 18:19
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,An Old Peasant Like Me,11 Sep 2014 18:14
Explosions in the Sky,All of a Sudden I Miss Everyone,So Long Lonesome,11 Sep 2014 18:11
Explosions in the Sky,The Earth Is Not a Cold Dead Place,Your Hand in Mine,11 Sep 2014 16:56
American Football,American Football,The One With the Wurlitzer,11 Sep 2014 16:53
American Football,American Football,Stay Home,11 Sep 2014 16:30
American Football,American Football,I'll See You When We're Both Not So Emotional,11 Sep 2014 16:26
American Football,American Football,But the Regrets Are Killing Me,11 Sep 2014 16:22
American Football,American Football,You Know I Should Be Leaving Soon,11 Sep 2014 16:17
American Football,American Football,For Sure,11 Sep 2014 16:14
American Football,American Football,Honestly?,11 Sep 2014 16:07
American Football,American Football,The Summer Ends,11 Sep 2014 16:03
American Football,American Football,Never Meant,11 Sep 2014 15:58
Banda Black Rio,Gafieira Universal,Vidigal,01 Aug 2014 20:30
American Football,American Football,The Summer Ends,24 Jul 2014 17:34
American Football,American Football,Never Meant,24 Jul 2014 17:30
Gilberto Gil,Aquele abraco,Aquele Abraco,24 Jul 2014 17:25
Sergio Mendes & Brasil '66,Mas Que Nada,Mais Que Nada,24 Jul 2014 17:22
Marisa Monte,Mais,Beija Eu - 2004 Digital Remaster;2004 - Remaster;,24 Jul 2014 17:17
Marisa Monte,Marisa Monte,Bem Que Se Quis (E Po' Che Fa') - 2004 Digital Remaster;,24 Jul 2014 17:14
American Football,American Football,The Summer Ends,22 Jul 2014 20:38
American Football,American Football,Never Meant,22 Jul 2014 20:33
CSS,Cansei De Ser Sexy,This Month Day 10,22 Jul 2014 20:29
CSS,Cansei De Ser Sexy,Music Is My Hot Hot Sex,22 Jul 2014 20:26
CSS,Cansei De Ser Sexy,Alcohol,22 Jul 2014 20:23
CSS,Cansei De Ser Sexy,Off the Hook,22 Jul 2014 20:20
CSS,Cansei De Ser Sexy,Meeting Paris Hilton,22 Jul 2014 20:16
CSS,Cansei De Ser Sexy,Fuckoff Is Not the Only Thing You Have to Show,22 Jul 2014 20:06
CSS,Cansei De Ser Sexy,Let's Make Love And Listen To Death From Above,22 Jul 2014 20:02
CSS,Cansei De Ser Sexy,Alala,22 Jul 2014 19:58
CSS,Cansei De Ser Sexy,Patins,22 Jul 2014 19:55
CSS,Cansei De Ser Sexy,CSS Suxxx,22 Jul 2014 19:53
Barao Vermelho,Maior Abandonado,Bete Balanço,18 Jul 2014 02:13
Seu Jorge,The Best of Mr Bongo (Mr Bongo presents),Carolina,18 Jul 2014 01:59
Mc Guime,País do Futebol (Single),País do Futebol (Part. Emicida),18 Jul 2014 01:56
Frank Ocean,channel ORANGE,Super Rich Kids,17 Jun 2014 17:00
Frank Ocean,channel ORANGE,Thinkin Bout You,17 Jun 2014 16:57
American Football,American Football,Honestly?,04 May 2014 23:12
American Football,American Football,The Summer Ends,04 May 2014 23:07
American Football,American Football,Never Meant,04 May 2014 23:02
American Football,American Football EP,Five Silent Miles,04 May 2014 21:00
American Football,American Football EP,Letters and Packages,04 May 2014 20:57
American Football,American Football EP,The One With the Tambourine,04 May 2014 20:52
American Football,American Football,The One With the Wurlitzer,04 May 2014 20:49
American Football,American Football,Stay Home,04 May 2014 20:34
American Football,American Football,I'll See You When We're Both Not So Emotional,04 May 2014 20:29
American Football,American Football,But the Regrets Are Killing Me,04 May 2014 20:25
American Football,American Football,You Know I Should Be Leaving Soon,04 May 2014 20:22
American Football,American Football,For Sure,04 May 2014 20:18
American Football,American Football,Honestly?,04 May 2014 20:11
American Football,American Football,The Summer Ends,04 May 2014 20:06
American Football,American Football,Never Meant,04 May 2014 20:02
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,The Lines On The Road That Lead You Back Home,31 Mar 2014 00:29
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Dear Alvin,31 Mar 2014 00:28
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Wading,31 Mar 2014 00:26
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Can't We Just Listen To The Silence,31 Mar 2014 00:24
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Hello Is This Your House?,31 Mar 2014 00:20
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Alone Time,31 Mar 2014 00:15
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Rain,31 Mar 2014 00:14
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Passing Time,31 Mar 2014 00:12
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Dear Madison,31 Mar 2014 00:10
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Theme From Prince Avalanche,31 Mar 2014 00:08
Explosions In The Sky & David Wingo,Prince Avalanche: An Original Motion Picture Soundtrack,Fires,31 Mar 2014 00:06
American Football,American Football EP,Five Silent Miles,31 Mar 2014 00:00
American Football,American Football EP,Letters and Packages,30 Mar 2014 23:57
American Football,American Football EP,The One With the Tambourine,30 Mar 2014 23:53
American Football,American Football,The One With the Wurlitzer,30 Mar 2014 23:50
American Football,American Football,Stay Home,30 Mar 2014 23:42
American Football,American Football,I'll See You When We're Both Not So Emotional,30 Mar 2014 23:38
American Football,American Football,But the Regrets Are Killing Me,30 Mar 2014 21:46
American Football,American Football,You Know I Should Be Leaving Soon,30 Mar 2014 21:42
American Football,American Football,For Sure,30 Mar 2014 21:39
American Football,American Football,Honestly?,30 Mar 2014 21:32
American Football,American Football,The Summer Ends,30 Mar 2014 21:04
American Football,American Football,Never Meant,30 Mar 2014 20:59
American Football,American Football,The One With the Wurlitzer,30 Mar 2014 20:20
American Football,American Football,Stay Home,30 Mar 2014 20:12
American Football,American Football,I'll See You When We're Both Not So Emotional,30 Mar 2014 19:44
American Football,American Football,But the Regrets Are Killing Me,30 Mar 2014 19:40
American Football,American Football,You Know I Should Be Leaving Soon,30 Mar 2014 19:36
